Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1880,1880-11-24,213,238,N/A,"WEDNESDAY 24
Read Comte and began Hermann and Dorothea. "
Diary 1880,1880-11-25,214,239,N/A,"THURSDAY 25
J. to town.
Packed Books."
Diary 1880,1880-11-29,214,239,N/A,"MONDAY 29
Left Witley and came to London to Baileys Hotel Gloucester Road.
Read Tennyson's new vol. of poems and particularly like ""The first Quarrel"". "
Diary 1880,1880-11-30,214,239,N/A,"TUESDAY 30
Bailey's Hotel.
Read ""My faithful Johnny"" in the Cornhill.
Hermann and Dorothea and Comte."
Diary 1880,1880-12-01,214,239,N/A,"WEDNESDAY 1
Bailey's Hotel. Went to the South Kensington Museum in the morning.
J. to city afternoon.Finished ""My Faithful Johnny"" -Tennyson's new vol. and
some Hermann and Dorothea. "
Diary 1880,1880-12-02,214,239,N/A,"THURSDAY 2
Bailey' s Hotel.
Shopping in the morning.
Read Comte and Hermann and Dorothea evening. "
Diary 1880,1880-12-03,214,239,N/A,"FRIDAY 3
Left Bailey's Hotel and came to Cheyne Walk.
Unpacking-after dinner began Duffield's translation ofDon Quixote and
Myers' Wordsworth. "
Diary 1880,1880-12-04,214,239,N/A,"SATURDAY 4
J. to city in morning. Home to lunch.
Went to our first Pop. Concert and heard Norman Neruda, Piatti etc. Miss
Zimmermann playing the piano. After "
Germany 1858,1858-04-14,306-310,331-335,"Munich, April 14th 1858","Google doc link: https://docs.google.com/document/d/1oCsvUmoeHFENTbw5uy0e1u2DKiVoyb3KM_rbPIIXzWY/edit?usp=sharing
Omeka link: https://georgeeliotarchive.org/admin/items/show/3276
Box link: https://unl.box.com/s/fr76cc8qcx6ddf43pk5lf4ac9qm7pcu7"
Germany 1858,1858-04-11,310-311,335-336,1858-04-11,"Sunday 11. We went to the Jesuitenkirche for the first time this morning. The effect of the interior is very fine -  a roof of great span unsupported by arches and covered with fresco. We lost some of the music by being a little too late, but heard enough to repay us for going-a quire of fresh boys' voices blending with the rolling organ.
	There were two confessionals placed opposite each other about half way up the church, and while the sermon was going forward, a priest sitting in each of them, received the confession of one penitent after another-all men or women clad in the dress of the working people. We waited through the sermon, delivered in a monotonous loud tone by rather a hard-looking priest. He stood in the passage between the two rows of benches, and held a book in his hand, to which he referred frequently as if reading passages which he then went on to expound or comment on. But the resonance was too great for us to hear much that he said. We staid to the end, hoping to hear more music, but there was none. The congregation departed in silence.
	From the church we went to the Pinacothek, straight into the glorious Rubens-Saal. Delighted afresh in the picture of Samson and Delilah, both for the painting and character of the figures. Delilah, a magnificent blond, seated in a chair, with a transparent white shift lightly covering her body and a rich red piece of drapery round her legs, leans forward with one hand resting on her thigh, the other, holding the cunning shears, resting on the chair-a posture which shows to perfection the full round living arms. She turns her head aside to look with sly triumph at Samson, a tawny giant, his legs caught in the red drapery, shorn of his long locks, furious with the consciousness that the Philistines are upon him, and that this time he cannot shake them off. Above the group of malicious faces and grappling arms, a hand holds a flaming torch. Behind Delilah, and grasping her arm leans forward an old woman with hard features full of exultation.
	This picture, comparatively small in size, hangs beside the LastJudgment, and in the corresponding space on the other side of the same picture hangs the sublime Crucifixion - Jesus alone hanging dead on the cross, darkness over the whole earth. One can desire nothing in this picture -  the grand, sweet calm of the dead face, calm and satisfied amidst all the traces of anguish, the real, livid flesh, the thorough mastery with which the whole form is rendered, and the isolation of the supreme sufferer, make a picture that haunts one like a remembrance of a friend's death-bed.
"
Germany 1858,1858-04-12,311,336,1858-04-12,"Monday 12. After reading Anna Mary Howitt's book on Munich, and Overbeck on Greek art, we turned out into the delicious sunshine to walk in the Theresien Wiese, and have our first look at the colossal Bavaria, the greatest work of Schwanthaler. Delightful it was to get away from the houses into this breezy meadow, where we heard the larks singing above us. The sun was still too high in the west for us to look with comfort at the statue except right in front of it, when it eclipsed the sun. And this front view is the only satisfactory one. The outline made by the head and arm on a side view is almost painfully ugly. But in front, looking up to the beautiful calm face, the impression it produces is sublime. I have never seen anything even in ancient sculpture of a more awful beauty than this dark colossal head looking out from a background of pure pale blue sky. We mounted the platform to have a view of her back, and then, walking forward, looked to our right hand and saw-the snow-covered Alps! Sight more to me than all the art in Munich, though I love the Art nevertheless. The great wide-stretching earth and the all-embracing sky-the birth-right of us all-are what I care most to look at, after all. And I feel intensely the new beauty of the sky here. The blue is so exquisitely clear, and the wide streets give one such a broad canopy of sky. I felt more inspirited by our walk to the Theresien-Platz than by any pleasure we have had in Munich. We came back quickly to set out again for the Residenz-Theater, where we were going to see Lady Tartüffe in a German dress. A very pretty little theatre it is, ornamented with sculptured wood, all dead white and gold with crimson draperies. The play was very respectably performed, and there was a delicious bit of real comedy in the make up, physiognomy and by-play of the president of the Benevolent Society, by Herr Keller. The Germans are excellent in these quiet bits of humour."
Germany 1858,1858-04-13,312,337,1858-04-13,"Tuesday 13. We took a droschky to the Maria-HilfKirche in the Au, and enjoyed this easy way of seeing the streets. The exterior of the church is conspicuous in its beauty, springing up with ease and grace from among the level blocks of houses around it. It is built of brick, the spire, with its sprouting leaf-like ornaments, of stone. The interior is fine and impressive, though the fluted columns are so thick and heavy for so small an area. But the loftiness of their shafts, and the rich colouring of the glass - all the windows are of coloured glass, representing the history of the Virgin and the Saviour - incline one to admire rather than to criticise.
	We walked back, taking the Begräbniss Platz on our way, that we might see Mrs. Costello's tomb, which George had undertaken to seek out. Dudley and Louisa Costello pay a certain sum yearly to have the grave kept in order, and were anxious to have the testimony of an eye-witness that the sum is not paid in vain. It looks very neat, with a border of violets, now coming into flower. We plucked two, to send to Louisa - then walked on through the cemetery. It affected me strangely, but not unpleasantly-this home of the multitudinous dead (the ancients called dying, going ad plures) and I should often walk there if l were alone.
	We had meant to go to the Theresien Wiese again, and see the Bavaria by the light of the sinking sun; but we were too early for this, so we went instead to the Hof-garten, where the chesnut-buds are beginning to burst, and drank a glass of agreeable coffee - then strolled on to the Englischergarten and looked at the rushing Isar. The light was so delicious as we came back, and the western red at the end of the long vista of the Carlsstrasse was so alluring, that we turned towards that street thinking we would make a little circuit homewards and see the outside of the Basilica. But we saw more than the outside, for one of the doors was open, and we walked in. Very grand it was in the dimness -hardly any colour to be detected by the pale light shed from the line of windows above the bright pillars. We saw a mighty space marked out by long rows of grey columns and a dim arched roof. But we dared not linger lest G. should increase his cold.
"
Germany 1858,1858-04-16,312,337,1858-04-16,"Friday 16. On Wednesday, we walked to the Theresien Wiese to look at the Bavaria by sunset, but a shower came on and drove us to take refuge in a pretty house built near the Ruhmeshalle -whereby we were gainers, for we saw a charming family group: a mother, with her three children; the eldest a boy with his book, the second a three-year old maiden, the third a sweet baby girl of a year and a half; two dogs, one a mixture of the setter and pointer, the other, a turns pit; and a relation, or servant, ironing. The baby cried at the sight of G. in beard and spectacles, but kept turning her eyes towards him from her mother's lap, every now and then seeming to have overcome her fears and then bursting out crying anew. At last, she got down and lifted the table-doth, to peep at his legs, as if to see the monster's nether parts.
"
Germany 1858,1858-04-22,312,337,1858-04-22,"Thursday 22. We both had a headache and could not enjoy our walk in the Englischergarten.
"
Germany 1858,1858-04-23,313,338,1858-04-23,"Friday 23. Not being well enough to write, we determined to spend our morning at the Glyptothek and Pinacothek. A glorious morning-all sunshine and blue sky. We went to the Glyptothek first, and delighted ourselves anew with the Sleeping Faun, The Satyr and Bacchus, and the Laughing Faun (Fauna calla macchia). Looked at the two young Satyrs reposing with the pipe in their hands -one of them charming in the boyish good humoured beauty of the face, but both wanting finish in the limbs which look almost as if they could be produced by a turning machine. But the conception of this often-repeated figure is charming: it would make a garden seem more peaceful in the sunshine. Looked at the old Silenus too, which is excellent. I delight in these figures, full of droll animation, flinging some nature in its broad freedom in the eyes of small-mouthed, mincing narrowness. We went into the modern Saal also, glancing on our way at the Cornelius frescoes, which seem to me stiff and hideous. An Adonis by Thorwaldsen is very beautiful.
	Then to the Pinacothek, where we looked at Albert Dürer's portrait again, and many other pictures among which I admired a group by Jordaens: ""A Satyr eating with a peasant shows him that he can blow hot and cold at the same time""; the old grandmother nursing the child, the father with the key in his hand with which he has been amusing baby, looking curiously at the Satyr, the handsome wife still more eager in her curiosity, the quiet cow, the little boy, the dog and cat - all are charmingly conceived.
"
Germany 1858,1858-04-24,313-314,338-339,1858-04-24,"Saturday 24. As we were reading this afternoon Herr Oldenburg came in, invited us to go to his house on Tuesday and chatted pleasantly for an hour. He talked of Kaulbach, whom he has known very intimately, being the publisher of the Reineke Fuchs. The picture of the Hunnen Schlacht was the first of Kaulbach's on a great scale. It created a sensation, and the critics began to call it a ""Weltgeschichtliches Bild"". Since then Kaulbach has been seduced into the complex, wearisome symbolical style, which makes the frescoes at Berlin enormous puzzles.
	When we had just returned from our drive in the Englischergarten, returning by the Sieges-Thor and glancing into the Ludwigskirche for the first time, Bodenstedt pleasantly surprized us by presenting himsel£ We had just heard from Oldenburg that he was very ill. Happily he had recovered and was just returned from Berlin. To our great benefit: for he is a charming man, and promises to be a delightful acquaintance for us in this strange town. He chatted pleasantly with us for half an hour, telling us that he is writing a work in five volumes on the Contemporaries of Shakspeare, and indicating the nature of his criticism of the Shakspearian Drama-which is historical and analytical. Presently he proposed that we should adjourn to his house and have tea with him, and so we turned out altogether in the bright moonlight, and enjoyed his pleasant talk until ten o'clock. His wife is not at home, but we were admitted to see the three sleeping children -  one a baby about a year and a half old, a lovely. waxen thing. He gave the same account ofKaulbach as we had heard from Oldenburg; spoke of Genelli as superior in genius, though he has not the fortune to be recognized; recited some of Hermann Ling's poetry, and spoke enthusiastically of its merits. There was not a word of detraction about any one -  no thing to jar on our impression of him as a refined noble-hearted man.
"
Germany 1858,1858-04-25,314,339,1858-04-25,"Sunday 25. We walked in the Englischergarten today and looked at the Munich people in their best clothes. Then came home and began to read aloud Bodenstedt's ""Tausend und ein Tag im Morgenland"".
"
Germany 1858,1858-04-26,314,339,1858-04-26,"Monday 26. In the afternoon Professor Andreas Wagner called, a very kind, unpretending old man. He offered to show us his Petrifacten-Sammlung, and promised to introduce us to Professor Martius and his family: also to mention to Bischoff G.'s wish to see him. In the morning Mr. Burton, the English artist called, an agreeable man, with a little English glazing of shyness.
"
Germany 1858,1858-04-27,314,339,1858-04-27,"Tuesday 27. This has been a red-letter day. In the morning, Professor Wagner took us over his Petrifacten-Sammlung, giving us interesting explanations; and before we left him we were joined by Prof. Marti us, an animated clever man, who talked admirably, and invited us to his house. Then we went to Kaulbach's studio, talked with him and saw with especial interest the picture he is preparing as a present to the New Museum. In the evening, after walking in the Theresien Wiese, we went to Herr Oldenburg's, and met Liebig, the chemist, Geibel and Heyse, the poets, and Carriere, the author of a work on the Reformation. Liebig is charming-with well cut features, a low quiet voice, and gentle manners. It was touching to see his hands, the nails black from the roots, the skin all grimed.
	Heyse is like a painter's poet, ideally beautiful; rather brilliant in his talk, and altogether pleasing. Geibel is a man of rather coarse texture, with a voice like a kettle drum, and a steady determination to deliver his opinions on every subject that turned up. But there was a good deal of ability in his remarks. Carriere is a thin-lipped, petty-faced man, whom one wishes out of the room, like a cold draught.
"
Germany 1858,1858-04-28,314,339,1858-04-28,"Wednesday 28. This evening at 7, kind old Professor Wagner came to take us to Martius's, and we spent an interesting evening there. Frau Marti us is a charming woman certainly not less than fifty-five, but with a graceful quiet liveliness and intelligence which makes her more interesting than her daughters.
"
Germany 1858,1858-04-30,314-315,339-340,1858-04-30,"Friday 30. After calling on Frau Oldenburg, and then at Pro£ Bodenstedt's where we played with his charming children for ten minutes, we went to the theatre to hear Prince Radziwill's music to the Faust. I admired especially the earlier part, the Easter-morning song of the spirits, the Beggar's Song-and other things, until after the scene in Auerbach's cellar, which is set with much humour and fancy. But the scene between Faust and Margaret is bad -  ""Meine Ruh' ist hin"" quite pitiable, and the ""Konig in Thule"" not good. Gretchen's second song, in which she implores help of the ""Schmerzensreiche"" touched me a good deal.
"
Germany 1858,1858-05-01,315,340,1858-05-01,"Saturday, May 1. The weather cloudy and rather rainy. In the afternoon Bodenstedt called and we agreed to spend the evening at his house. A delightful evening. Professor Lo her, author of""Die Deutscher in America"", and another much younger Gelehrte, whose name I did not seize, were there.
"
Germany 1858,1858-05-02,315,340,1858-05-02,"Sunday. 2. Still rainy and cold. We went to the Pinacothek and looked at the old pictures in the first and second Saal. There are some very bad and some fine ones by Albert Diirer: of the latter a full-length figure of the Apostle Paul with the head of Mark beside him in a listening attitude is the one that most remains with me. One extremely grotesque by Wohlgemuth, Dürer's master, of Christ risen from the dead and standing something like a propped wooden doll with a frightened expression by the stone grave, the Roman guard ( of two men asleep in the fore-ground), and an angel with the air of a school-girl in the middle distance. Others ofWohlgemuth have much more merit. There is a very striking ""Adoration of the Magi"" by Johannes van Eyck, with much merit in the colouring, perspective and figures. Also ""Christ carrying his Cross"" by Albert Dtirer is striking. ""A woman raised from the dead by the imposition of the Cross"" is a very elaborate composition by Bohme in which the faces are of first rate excellence. In the evening we went to the Opera and saw the ""Nord Stern"".
"
Germany 1858,1858-05-03,315,340,1858-05-03,Monday. 3. Pouring with rain the whole day
Germany 1858,1858-05-04,315,340,1858-05-04,"Tuesday. 4. Letter from Blackwood today, in which he appears to fall in rather with the idea of separate publication for Adam Bede than of publication in the Magazine. We have read Heyse's Novell en after dinner for the last day or two, after laying aside Bodenstedt's ""Tausend und ein Tag im Orient"", which has given us much pleasure in its picture of Mirza Schaffige. This evening we have been to the Theresien Wiese and had a glorious view of the Mountains.
"
Germany 1858,1858-05-05,315,340,1858-05-05,"Wednesday 5. We have called on Liebig and his wife today, and he gave me one of his silvered glasses as a remembrancer. Then we had a drive beyond the Sieges Thor, and I am now alone going to write while G. is gone with Bodenstedt to a society of literati.
"
Germany 1858,1858-05-10,315-316,340-341,1858-05-10 (Entry 1),"Monday 10. Since Wednesday I have had a wretched cold and cough, and been otherwise ill; but I have had several pleasures nevertheless. On Friday Bodenstedtcalled with Baron Schack, to take us to Genelli's, the artist, of whose powers B. had spoken to us with enthusiastic admiration. The result to us was nothing but disappointment:-the sketches he showed us seemed to us quite destitute of any striking merit. There were three compositions from Biblical subjects: The banishment from Paradise, The Meeting of Isaac and Rebekah at the Well, and the arrival ofEliphaz with the gifts to Rebekah, who is trying on the bracelet with delight. The rest were mythological; Somnus and the graces Jupiter holding the infant Hercules to the breast of the sleeping Juno, and a pencil sketch of a large picture - Bacchus manifesting himself as a god on board ship after he has been the object of ridicule and insults to the sailors.
	Saturday, the 8th, was a wretched day-snow in the morning, and rain all the rest of the day, so that we only went out to our dinner.
	On Sunday we dined with Liebig, and spent the evening at Bodenstedt's, where we met Professor Bluntschli, the jurist, a very intelligent and agreeable man, and Melchior Meyr, a maker of novels and tragedies, otherwise an ineffectual personage.
"
